date,equity,cumulative_return_pct,benchmark_return_pct
20260105,1000000.0,0.0,
20260106,1000000.0,0.0,
20260107,1000000.0,0.0,
20260108,1000000.0,0.0,
20260109,1000000.0,0.0,
20260112,1000000.0,0.0,
20260113,1000000.0,0.0,
20260114,1000000.0,0.0,
20260115,1000000.0,0.0,
20260116,1000000.0,0.0,
20260119,1000000.0,0.0,
20260120,1000000.0,0.0,
20260121,1000000.0,0.0,
20260122,999992.98,-0.0007,
20260123,999928.98,-0.0071,
20260126,1000040.98,0.0041,
20260127,1000050.98,0.0051,
20260128,1000116.98,0.0117,
20260129,1000140.98,0.0141,
20260130,1000166.98,0.0167,
20260202,1000098.98,0.0099,
20260203,1000056.98,0.0057,
20260204,1000074.98,0.0075,
20260205,1000068.98,0.0069,
20260206,1000116.98,0.0117,
20260209,1000112.98,0.0113,
20260210,1000114.98,0.0115,
20260211,1000132.98,0.0133,
20260212,1000170.98,0.0171,
20260213,1000070.98,0.0071,
20260224,1000180.98,0.0181,
20260225,1000160.98,0.0161,
20260226,1000140.98,0.0141,
20260227,1000134.98,0.0135,
20260302,1000352.98,0.0353,
20260303,1000592.98,0.0593,
20260304,1000603.34,0.0603,
20260305,1000603.34,0.0603,
20260306,1000603.34,0.0603,
20260309,1000603.34,0.0603,
20260310,1000603.34,0.0603,
20260311,1000603.34,0.0603,
20260312,1000603.34,0.0603,
20260313,1000603.34,0.0603,
20260316,1000603.34,0.0603,
20260317,1000603.34,0.0603,
20260318,1000603.34,0.0603,
20260319,1000603.34,0.0603,
20260320,1000603.34,0.0603,
20260323,1000603.34,0.0603,
20260324,1000603.34,0.0603,
20260325,1000603.34,0.0603,
20260326,1000603.34,0.0603,
20260327,1000603.34,0.0603,
20260330,1000603.34,0.0603,
20260331,1000603.34,0.0603,
20260401,1000603.34,0.0603,
20260402,1000603.34,0.0603,
20260403,1000603.34,0.0603,
20260407,1000603.34,0.0603,
20260408,1000603.34,0.0603,
20260409,1000603.34,0.0603,
20260410,1000603.34,0.0603,
20260413,1000603.34,0.0603,
20260414,1000603.34,0.0603,
20260415,1000603.34,0.0603,
20260416,1000603.34,0.0603,
20260417,1000603.34,0.0603,
20260420,1000603.34,0.0603,
20260421,1000603.34,0.0603,
20260422,1000603.34,0.0603,
20260423,1000603.34,0.0603,
20260424,1000603.34,0.0603,
20260427,1000603.34,0.0603,
20260428,1000603.34,0.0603,
20260429,1000603.34,0.0603,
20260430,1000603.34,0.0603,
20260506,1000603.34,0.0603,
20260507,1000603.34,0.0603,
20260508,1000603.34,0.0603,
20260511,1000603.34,0.0603,
20260512,1000603.34,0.0603,
20260513,1000603.34,0.0603,
20260514,1000603.34,0.0603,
