factor,mean_ic,std_ic,ir,ic_positive_ratio,ic_abs_mean,t_count
l_trd_consistency,0.0711,0.2943,0.2415,0.5818,0.2448,1210
l_trd_alignment,0.0694,0.3269,0.2122,0.5455,0.2683,1210
l_vol_atr,0.0293,0.3476,0.0842,0.5157,0.2873,1210
p_mom_acceleration,0.0248,0.3471,0.0715,0.5223,0.2842,1210
l_vol_price_std,0.0204,0.3339,0.0612,0.5182,0.2734,1210
l_vol_bb_width,0.0195,0.3333,0.0584,0.5248,0.2689,1210
l_vol_vwap_5_dev,0.02,0.3534,0.0567,0.5116,0.2897,1210
l_vol_dollar_vol,0.0126,0.3114,0.0406,0.5182,0.2524,1210
p_mom_price_velocity,0.0131,0.3575,0.0368,0.5099,0.2923,1210
p_mom_roc5,0.0131,0.3575,0.0368,0.5099,0.2923,1210
l_vol_log_ret_std,0.0118,0.333,0.0354,0.5041,0.2711,1210
l_vol_atr_ratio,0.011,0.3449,0.032,0.4992,0.2773,1210
l_trd_width,0.0113,0.37,0.0306,0.5099,0.3039,1210
l_vol_skew,0.0093,0.3138,0.0295,0.5041,0.2566,1210
l_trd_breadth,0.0102,0.3697,0.0276,0.5083,0.3033,1210
l_vol_vwap_20_dev,0.0097,0.3615,0.0269,0.4967,0.296,1210
p_mom_roc20,0.0066,0.3639,0.0182,0.4942,0.2991,1210
l_vol_trend,0.0056,0.3189,0.0175,0.4876,0.257,1210
p_mom_rsi,0.0054,0.3617,0.0149,0.4975,0.2947,1210
l_str_bb_position,0.0051,0.3522,0.0146,0.4983,0.2893,1210
l_trd_ma_slope,0.0047,0.372,0.0125,0.4901,0.3017,1210
l_vol_ratio,0.0041,0.3278,0.0124,0.4967,0.2663,1210
p_mom_tsi,0.0036,0.366,0.0099,0.4893,0.2943,1210
l_str_structure_quality,0.0031,0.3201,0.0098,0.486,0.2577,1210
p_mom_williams_r,0.0032,0.351,0.0092,0.4942,0.2859,1210
p_mom_roc10,0.0024,0.3592,0.0067,0.4851,0.2938,1210
p_mom_mtm,0.0007,0.3332,0.0021,0.4868,0.2723,1210
l_str_kdj_d,0.0007,0.3609,0.0018,0.4901,0.2966,1210
l_str_kdj_j,0.0002,0.3503,0.0007,0.4893,0.2866,1210
p_mom_cci,0.0001,0.352,0.0003,0.4934,0.2873,1210
l_trd_composite_score,-0.0002,0.3372,-0.0005,0.4926,0.2744,1210
l_trd_strength,-0.0005,0.331,-0.0014,0.4901,0.2699,1210
l_trd_adx,-0.0005,0.331,-0.0014,0.4901,0.2699,1210
l_str_kdj_k,-0.0029,0.3549,-0.0082,0.4777,0.2911,1210
l_vol_smart_money,-0.0066,0.3125,-0.021,0.495,0.2524,1210
l_vol_vwap_dev,-0.0086,0.3342,-0.0258,0.4884,0.2733,1210
l_vol_kurt,-0.0083,0.319,-0.0259,0.481,0.2579,1210
l_vol_rsi_std,-0.0129,0.324,-0.0397,0.481,0.2608,1210
